기준일,시장구분,시가,고가,저가,종가,수정주가,거래량,거래대금,시가총액,외국인시가총액,PER,FPER,PBR,DY,created_at,updated_at,신용잔고,예탁금
1996-08-03,KOSPI,825.35,827.05,823.48,824.08,,13547200,,,,,,,,,,,
1996-08-05,KOSDAQ,1149.4,1149.4,1149.4,1149.4,,40265,,,,,,,,,,,
1996-08-05,KOSPI,823.98,826.21,821.64,824.3,,19236800,,,,,,,,,,,
1996-08-06,KOSDAQ,1153.6,1153.6,1153.6,1153.6,,37296,,,,,,,,,,,
1996-08-06,KOSPI,824.28,830.6,822.05,828.05,,20332400,,,,,,,,,,,
1996-08-07,KOSDAQ,1162.4,1162.4,1162.4,1162.4,,34978,,,,,,,,,,,
1996-08-07,KOSPI,827.74,834.03,827.6,834.03,,20099900,,,,,,,,,,,
1996-08-08,KOSDAQ,1165.7,1165.7,1165.7,1165.7,,36132,,,,,,,,,,,
1996-08-08,KOSPI,834.23,844.93,834.23,837.2,,27107300,,,,,,,,,,,
1996-08-09,KOSDAQ,1161.8,1161.8,1161.8,1161.8,,66230,,,,,,,,,,,
1996-08-09,KOSPI,836.98,837.19,830.49,832.61,,18717000,,,,,,,,,,,
1996-08-10,KOSDAQ,1166.6,1166.6,1166.6,1166.6,,22704,,,,,,,,,,,
1996-08-10,KOSPI,831.69,837.1,831.69,836.77,,14266600,,,,,,,,,,,
1996-08-12,KOSDAQ,1167.7,1167.7,1167.7,1167.7,,31608,,,,,,,,,,,
1996-08-12,KOSPI,835.77,838.55,835.73,837.99,,19320000,,,,,,,,,,,
1996-08-13,KOSDAQ,1170.7,1170.7,1170.7,1170.7,,46681,,,,,,,,,,,
1996-08-13,KOSPI,839.03,839.39,832.32,833.43,,19199900,,,,,,,,,,,
1996-08-14,KOSDAQ,1170.2,1170.2,1170.2,1170.2,,44927,,,,,,,,,,,
1996-08-14,KOSPI,832.86,833.39,825.81,825.84,,20604400,,,,,,,,,,,
1996-08-16,KOSDAQ,1168.6,1168.6,1168.6,1168.6,,41874,,,,,,,,,,,
1996-08-16,KOSPI,825.21,825.45,814.81,814.96,,16401000,,,,,,,,,,,
1996-08-17,KOSDAQ,1167.3,1167.3,1167.3,1167.3,,109882,,,,,,,,,,,
1996-08-17,KOSPI,814.29,814.6,810.18,810.69,,10600900,,,,,,,,,,,
1996-08-19,KOSDAQ,1163,1163,1163,1163,,48867,,,,,,,,,,,
1996-08-19,KOSPI,809.29,810.94,799.53,800.52,,14871200,,,,,,,,,,,
1996-08-20,KOSDAQ,1157.3,1157.3,1157.3,1157.3,,39160,,,,,,,,,,,
1996-08-20,KOSPI,799.98,806.04,793.9,793.91,,16125700,,,,,,,,,,,
1996-08-21,KOSDAQ,1159.2,1159.2,1159.2,1159.2,,30156,,,,,,,,,,,
1996-08-21,KOSPI,793.16,793.16,783.33,789.12,,17222600,,,,,,,,,,,
1996-08-22,KOSDAQ,1158.5,1158.5,1158.5,1158.5,,41370,,,,,,,,,,,
1996-08-22,KOSPI,789.17,792.68,779.59,779.63,,16827200,,,,,,,,,,,
1996-08-23,KOSDAQ,1150.6,1150.6,1150.6,1150.6,,82765,,,,,,,,,,,
1996-08-23,KOSPI,779.66,786.27,779.66,781.42,,21386600,,,,,,,,,,,
1996-08-24,KOSDAQ,1149.8,1149.8,1149.8,1149.8,,91045,,,,,,,,,,,
1996-08-24,KOSPI,781.69,788.07,781.01,782.13,,13762900,,,,,,,,,,,
1996-08-26,KOSDAQ,1148.1,1148.1,1148.1,1148.1,,91722,,,,,,,,,,,
1996-08-26,KOSPI,782.67,782.67,766.64,766.89,,18198700,,,,,,,,,,,
1996-08-27,KOSDAQ,1153.1,1153.1,1153.1,1153.1,,103037,,,,,,,,,,,
1996-08-27,KOSPI,763.72,774.57,760.35,761.75,,16793100,,,,,,,,,,,
1996-08-28,KOSDAQ,1150.5,1150.5,1150.5,1150.5,,239178,,,,,,,,,,,
1996-08-28,KOSPI,761.17,764.33,749.76,753.35,,19746300,,,,,,,,,,,
1996-08-29,KOSDAQ,1154.6,1154.6,1154.6,1154.6,,47797,,,,,,,,,,,
1996-08-29,KOSPI,754.25,766.22,750.41,766.16,,19352800,,,,,,,,,,,
1996-08-30,KOSDAQ,1155.2,1155.2,1155.2,1155.2,,93281,,,,,,,,,,,
1996-08-30,KOSPI,767.32,782.89,766.22,782.87,,20438900,,,,,,,,,,,
1996-08-31,KOSDAQ,1155.3,1155.3,1155.3,1155.3,,37414,,,,,,,,,,,
1996-08-31,KOSPI,782.77,783.08,774.2,781.49,,13763400,,,,,,,,,,,
1996-09-02,KOSDAQ,1148.9,1148.9,1148.9,1148.9,,47174,,,,,,,,,,,
1996-09-02,KOSPI,781.77,782.81,771.14,774.26,,17094700,,,,,,,,,,,
1996-09-03,KOSDAQ,1144.6,1144.6,1144.6,1144.6,,154507,,,,,,,,,,,
1996-09-03,KOSPI,771.83,771.83,764.28,769.8,,16384200,,,,,,,,,,,
1996-09-04,KOSDAQ,1148,1148,1148,1148,,108647,,,,,,,,,,,
1996-09-04,KOSPI,771.95,794.08,771.95,791.64,,28579100,,,,,,,,,,,
1996-09-05,KOSDAQ,1157.2,1157.2,1157.2,1157.2,,42249,,,,,,,,,,,
1996-09-05,KOSPI,795.25,798.07,787.14,787.14,,23124600,,,,,,,,,,,
1996-09-06,KOSDAQ,1164.1,1164.1,1164.1,1164.1,,91003,,,,,,,,,,,
1996-09-06,KOSPI,786.64,789.99,779.47,784.05,,22634500,,,,,,,,,,,
1996-09-07,KOSDAQ,1166.8,1166.8,1166.8,1166.8,,37543,,,,,,,,,,,
1996-09-07,KOSPI,783.96,787.36,782.03,785.26,,15756800,,,,,,,,,,,
1996-09-09,KOSDAQ,1176.8,1176.8,1176.8,1176.8,,73611,,,,,,,,,,,
1996-09-09,KOSPI,785.11,799.11,783.74,797.38,,23100100,,,,,,,,,,,
1996-09-10,KOSDAQ,1181.4,1181.4,1181.4,1181.4,,48912,,,,,,,,,,,
1996-09-10,KOSPI,798.32,806.17,798.32,803.04,,24880800,,,,,,,,,,,
1996-09-11,KOSDAQ,1183.1,1183.1,1183.1,1183.1,,220325,,,,,,,,,,,
1996-09-11,KOSPI,802.98,803.94,798.31,801.45,,21456500,,,,,,,,,,,
1996-09-12,KOSDAQ,1179.7,1179.7,1179.7,1179.7,,87621,,,,,,,,,,,
1996-09-12,KOSPI,801.35,802.43,794.35,797.57,,25057000,,,,,,,,,,,
1996-09-13,KOSDAQ,1185.6,1185.6,1185.6,1185.6,,79548,,,,,,,,,,,
1996-09-13,KOSPI,797.39,797.39,785.13,785.19,,24309300,,,,,,,,,,,
1996-09-14,KOSDAQ,1185.5,1185.5,1185.5,1185.5,,64566,,,,,,,,,,,
1996-09-14,KOSPI,783.97,787.07,781.49,781.73,,15562400,,,,,,,,,,,
1996-09-16,KOSDAQ,1186,1186,1186,1186,,98289,,,,,,,,,,,
1996-09-16,KOSPI,780.88,788.4,780.88,781.88,,20944400,,,,,,,,,,,
1996-09-17,KOSDAQ,1178.9,1178.9,1178.9,1178.9,,108382,,,,,,,,,,,
1996-09-17,KOSPI,781.6,784.26,779.17,781.76,,22380300,,,,,,,,,,,
1996-09-18,KOSDAQ,1182.2,1182.2,1182.2,1182.2,,123818,,,,,,,,,,,
1996-09-18,KOSPI,782.71,787.5,781.79,782.1,,28964400,,,,,,,,,,,
1996-09-19,KOSDAQ,1182.7,1182.7,1182.7,1182.7,,75347,,,,,,,,,,,
1996-09-19,KOSPI,781.88,784.58,772.79,773.15,,28703400,,,,,,,,,,,
1996-09-20,KOSDAQ,1184.4,1184.4,1184.4,1184.4,,58658,,,,,,,,,,,
1996-09-20,KOSPI,773.21,773.87,755.09,759.35,,30823900,,,,,,,,,,,
1996-09-21,KOSDAQ,1184.8,1184.8,1184.8,1184.8,,39789,,,,,,,,,,,
1996-09-21,KOSPI,758.69,769.16,754.69,768.37,,18177000,,,,,,,,,,,
1996-09-23,KOSDAQ,1182,1182,1182,1182,,88478,,,,,,,,,,,
1996-09-23,KOSPI,767.97,778.24,765.29,769.2,,28486000,,,,,,,,,,,
1996-09-24,KOSDAQ,1175.2,1175.2,1175.2,1175.2,,54422,,,,,,,,,,,
1996-09-24,KOSPI,768.75,778.35,767.49,777.91,,26658600,,,,,,,,,,,
1996-09-25,KOSDAQ,1171.9,1171.9,1171.9,1171.9,,41019,,,,,,,,,,,
1996-09-25,KOSPI,778.84,798.46,778.84,793.21,,30401800,,,,,,,,,,,
1996-09-30,KOSDAQ,1168.8,1168.8,1168.8,1168.8,,105864,,,,,,,,,,,
1996-09-30,KOSPI,794.33,804.68,789.47,789.67,,28716400,,,,,,,,,,,
1996-10-01,KOSDAQ,1164.7,1164.7,1164.7,1164.7,,33432,,,,,,,,,,,
1996-10-01,KOSPI,790.47,794.37,784.1,789.47,,66190000,,,,,,,,,,,
1996-10-02,KOSDAQ,1165.3,1165.3,1165.3,1165.3,,126848,,,,,,,,,,,
1996-10-02,KOSPI,789.6,798.62,786.79,794.01,,45250100,,,,,,,,,,,
1996-10-04,KOSDAQ,1167.5,1167.5,1167.5,1167.5,,212274,,,,,,,,,,,
1996-10-04,KOSPI,793.93,793.93,776.43,776.43,,38658100,,,,,,,,,,,
1996-10-05,KOSDAQ,1169.7,1169.7,1169.7,1169.7,,25889,,,,,,,,,,,
1996-10-05,KOSPI,775.38,779.04,773.89,777.31,,22827500,,,,,,,,,,,
1996-10-07,KOSDAQ,1173.6,1173.6,1173.6,1173.6,,54398,,,,,,,,,,,
1996-10-07,KOSPI,777.82,801.8,777.82,795.33,,41051200,,,,,,,,,,,
1996-10-08,KOSDAQ,1177,1177,1177,1177,,63859,,,,,,,,,,,
1996-10-08,KOSPI,795.51,806.12,795.51,797.62,,39114800,,,,,,,,,,,
1996-10-09,KOSDAQ,1185.1,1185.1,1185.1,1185.1,,34940,,,,,,,,,,,
1996-10-09,KOSPI,798.71,817.78,798.71,817.78,,46681800,,,,,,,,,,,
1996-10-10,KOSDAQ,1195.2,1195.2,1195.2,1195.2,,68987,,,,,,,,,,,
1996-10-10,KOSPI,819.05,830.22,819.05,830.21,,53890900,,,,,,,,,,,
1996-10-11,KOSDAQ,1204.1,1204.1,1204.1,1204.1,,57469,,,,,,,,,,,
1996-10-11,KOSPI,830.83,836.96,827.19,833.43,,53455700,,,,,,,,,,,
1996-10-12,KOSDAQ,1210.3,1210.3,1210.3,1210.3,,76231,,,,,,,,,,,
1996-10-12,KOSPI,833.93,843.99,833.93,840.8,,36142200,,,,,,,,,,,
1996-10-14,KOSDAQ,1201.6,1201.6,1201.6,1201.6,,92497,,,,,,,,,,,
1996-10-14,KOSPI,840.86,849.12,838.08,842.28,,56016900,,,,,,,,,,,
1996-10-15,KOSDAQ,1192.9,1192.9,1192.9,1192.9,,76040,,,,,,,,,,,
1996-10-15,KOSPI,843.85,848.49,828.61,828.61,,55159700,,,,,,,,,,,
1996-10-16,KOSDAQ,1189.7,1189.7,1189.7,1189.7,,48329,,,,,,,,,,,
1996-10-16,KOSPI,829.08,835.26,823.68,835.17,,47918500,,,,,,,,,,,
1996-10-17,KOSDAQ,1194.3,1194.3,1194.3,1194.3,,83018,,,,,,,,,,,
1996-10-17,KOSPI,836.32,847.33,834.51,839.73,,54485200,,,,,,,,,,,
1996-10-18,KOSDAQ,1198.4,1198.4,1198.4,1198.4,,77374,,,,,,,,,,,
1996-10-18,KOSPI,839.64,847.09,830.24,830.25,,44570900,,,,,,,,,,,
1996-10-19,KOSDAQ,1200.2,1200.2,1200.2,1200.2,,34119,,,,,,,,,,,
1996-10-19,KOSPI,830.14,831.97,821.72,831.18,,25433600,,,,,,,,,,,
1996-10-21,KOSDAQ,1207.3,1207.3,1207.3,1207.3,,82081,,,,,,,,,,,
1996-10-21,KOSPI,830.43,844.51,829.51,832.62,,34720900,,,,,,,,,,,
1996-10-22,KOSDAQ,1205.9,1205.9,1205.9,1205.9,,329088,,,,,,,,,,,
1996-10-22,KOSPI,831.96,831.96,818.28,819.22,,26055000,,,,,,,,,,,
1996-10-23,KOSDAQ,1203.6,1203.6,1203.6,1203.6,,140926,,,,,,,,,,,
1996-10-23,KOSPI,818.3,819.47,811.15,811.98,,26651000,,,,,,,,,,,
1996-10-24,KOSDAQ,1212,1212,1212,1212,,121627,,,,,,,,,,,
1996-10-24,KOSPI,811.27,813.84,804.42,804.44,,23825100,,,,,,,,,,,
1996-10-25,KOSDAQ,1211.6,1211.6,1211.6,1211.6,,203923,,,,,,,,,,,
1996-10-25,KOSPI,804.99,804.99,789.62,793.78,,26719600,,,,,,,,,,,
1996-10-26,KOSDAQ,1216.5,1216.5,1216.5,1216.5,,135814,,,,,,,,,,,
1996-10-26,KOSPI,793.32,794.76,788.12,791.81,,17925800,,,,,,,,,,,
1996-10-28,KOSDAQ,1221.7,1221.7,1221.7,1221.7,,101460,,,,,,,,,,,
1996-10-28,KOSPI,791.41,794.59,780.08,780.08,,26191000,,,,,,,,,,,
1996-10-29,KOSDAQ,1219,1219,1219,1219,,381204,,,,,,,,,,,
1996-10-29,KOSPI,778.97,779.01,766.32,766.32,,25490600,,,,,,,,,,,
1996-10-30,KOSDAQ,1213.2,1213.2,1213.2,1213.2,,104884,,,,,,,,,,,
1996-10-30,KOSPI,766.03,771.7,752.76,757.09,,24485800,,,,,,,,,,,
1996-10-31,KOSDAQ,1223.5,1223.5,1223.5,1223.5,,196079,,,,,,,,,,,
1996-10-31,KOSPI,757.38,763.52,751.43,757.59,,28492300,,,,,,,,,,,
1996-11-01,KOSDAQ,1237.1,1237.1,1237.1,1237.1,,152619,,,,,,,,,,,
1996-11-01,KOSPI,757.79,767.96,757.79,767.87,,29176700,,,,,,,,,,,
1996-11-02,KOSDAQ,1256.2,1256.2,1256.2,1256.2,,50216,,,,,,,,,,,
1996-11-02,KOSPI,769.77,774.51,765.73,765.73,,21529300,,,,,,,,,,,
1996-11-04,KOSDAQ,1279.1,1279.1,1279.1,1279.1,,142820,,,,,,,,,,,
1996-11-04,KOSPI,765.77,765.77,747.41,747.42,,30649800,,,,,,,,,,,
1996-11-05,KOSDAQ,1277.8,1277.8,1277.8,1277.8,,251902,,,,,,,,,,,
1996-11-05,KOSPI,744.63,744.63,726.14,733.65,,32845200,,,,,,,,,,,
1996-11-06,KOSDAQ,1281.3,1281.3,1281.3,1281.3,,231201,,,,,,,,,,,
1996-11-06,KOSPI,733.6,747.29,733.6,747.29,,31676000,,,,,,,,,,,
